profile,iso_class_id,representative_hash,class_size,graph_hash
"(4,0,0,0)","(4,0,0,0):iso-00003",17ace8e2724be053be9cb590223e5791a67971d43dc7652492b570c7fdcc6770,1,17ace8e2724be053be9cb590223e5791a67971d43dc7652492b570c7fdcc6770
"(4,0,0,0)","(4,0,0,0):iso-00004",fcc715f29ac61e27d6e71cb38a062eca4c2fc3ea292761b5a8eeaabf577533cd,1,fcc715f29ac61e27d6e71cb38a062eca4c2fc3ea292761b5a8eeaabf577533cd
"(4,0,0,0)","(4,0,0,0):iso-00005",c3426e3b68f638cd51c5b4407a681824980d607d0b3481cd3801ee53425d9b5a,1,c3426e3b68f638cd51c5b4407a681824980d607d0b3481cd3801ee53425d9b5a
"(4,0,0,0)","(4,0,0,0):iso-00006",2dccabcf1da8c78195dcbd6320e95c52dc0c87c3acc4ad801ffb726f55f1eb5c,1,2dccabcf1da8c78195dcbd6320e95c52dc0c87c3acc4ad801ffb726f55f1eb5c
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,3aab9e32fc4d0569186ca644092de9669234c76496a9223e25d7a82d49a6974b
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,659cdbf9a33e2011ca31bcdd776171da4763ffd455ab6aa559a17ca33f407a67
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,0f46ba33ad39d2d63d8cd25098f59935fd1ccb7e614edc7a4a0b4a38a26e5a42
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,5ef1e293c4775819f5f0783f9f1917d2b6a2b54f0f465129f7c7679fe8b6a2b3
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,26b4d140ba05debf0946e5f4657d5e711d980e831cb75c81b3691bbd28eed169
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,0db88fe29dd9785ec77d66ecee1d8fa4b9690425b0f1c3e6f76ff6dc6025083a
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,0e18f3b03b77c81afc9ae68ba923cdf73cfb67c52abcfad74638c6d950493688
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,1f21ec7c33f52428b98625d59c04487f5ede01aa048d88945f179bc5fdb9cbb3
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,b6406259e48244ffac2a9e19aba6499b8923734359bde9f7264b04dd6ec8c28a
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,d02e86f2e4692bdfc30daae677fc8041d92578378510370debe6fdc6ff3038eb
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,7fa2db9ba9243404d39f159aeb2c33e64f7ff9d69cc241ed9a8844a90de547ce
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,88dea5fbc858c2f6072ae4145e4dac495576da7e4b2218ac4376c946b1187138
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,d25645400cc866f70c8f625cc23142f2ad44ee5f466c546383ba9b9949cd2689
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,4565ad0708d0797e334e896b0be53661f732e508ffdc3f1b31ac58da340948ce
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,7c1aac20e7f4e5191fbc181c819d9a87354c59a2e7f1e8bbdbb9c174b6c840ca
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,5e274f8e8fb53804ff5d555a120458027dd7372949af810fcd54781a7067e6e8
"(4,0,0,0)","(4,0,0,0):iso-00007",ec157217bb0cf631e78554c078325683f7a2381f905f28bd641c06dce40fc272,18,4e7c5c0b348edfb6445d38ce760c441eb780a311c20096e283c105ac82215134
"(4,0,0,0)","(4,0,0,0):iso-00008",cc173316c6833592466563352693b1f93fc643804ca684968e80c25fe7c8899c,1,cc173316c6833592466563352693b1f93fc643804ca684968e80c25fe7c8899c
"(4,0,0,0)","(4,0,0,0):iso-00009",29c918618c73fbd285cbdd9cc55726de661b79ca88bbe7a58613d6175d6fef01,2,29c918618c73fbd285cbdd9cc55726de661b79ca88bbe7a58613d6175d6fef01
"(4,0,0,0)","(4,0,0,0):iso-00009",29c918618c73fbd285cbdd9cc55726de661b79ca88bbe7a58613d6175d6fef01,2,9a688b851499a1035d9aa7be8c2bf4bd34d78ac0213c6751fe0902ab04d018f5
"(4,0,0,0)","(4,0,0,0):iso-00010",8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,7,8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96
"(4,0,0,0)","(4,0,0,0):iso-00010",8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,7,73effe267cffb78486ed4092acd4a1a210401640a7fc2595b10f17d7820f33e5
"(4,0,0,0)","(4,0,0,0):iso-00010",8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,7,fb721eea49b4cf6378c96171fd31bd10ac9970da39748a4225189fbd5df1da50
"(4,0,0,0)","(4,0,0,0):iso-00010",8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,7,2340f5c5a45e90f83257d31ab7ed327224bcd4e58dcc729e570874d9d8824798
"(4,0,0,0)","(4,0,0,0):iso-00010",8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,7,7f8b2b6366e5fad5f92e5ee492c2790b0f889aef6490788a8816f10b121841fb
"(4,0,0,0)","(4,0,0,0):iso-00010",8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,7,c9b790974fcb8eaa87de942e4030a40af6c8696ecaa7176cd4c7b0f36b572b31
"(4,0,0,0)","(4,0,0,0):iso-00010",8d1e81cf5a8a48f686a35278d98969338fa6c9eb1b12be1c0577fdb092a33b96,7,93634ae05558393fc65ca86438cce611f5ecaba28466cd31ac43ccd6e809cffa
"(4,0,0,0)","(4,0,0,0):iso-00011",d5d7443b7fee87c54aad90c252be732c4a8f4faa43a50158e6a08c5753489a72,1,d5d7443b7fee87c54aad90c252be732c4a8f4faa43a50158e6a08c5753489a72
"(4,0,0,0)","(4,0,0,0):iso-00012",0fd9f8ea847055c98213c7fd7df89c015c3bfb821e52785394713def46012932,1,0fd9f8ea847055c98213c7fd7df89c015c3bfb821e52785394713def46012932
"(4,0,0,0)","(4,0,0,0):iso-00013",f76e794b6f444c3d22ba2093c46de7489a17f64f3716da949c93ff56c2de105f,1,f76e794b6f444c3d22ba2093c46de7489a17f64f3716da949c93ff56c2de105f
"(4,0,0,0)","(4,0,0,0):iso-00014",b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,10,b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266
"(4,0,0,0)","(4,0,0,0):iso-00014",b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,10,e2f4a30141bc424f69b0deb4c48fbfd0be7865ccbd1e5142ccfb93abcfe6fc60
"(4,0,0,0)","(4,0,0,0):iso-00014",b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,10,1148d044795455e7f28c0b9a9d3ba2422ffc9536c23176bd029a4ced7194f1cb
"(4,0,0,0)","(4,0,0,0):iso-00014",b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,10,87c20559567aae03c0475e6a53369ae24061bb3aa11f000a582dac228dbf791c
"(4,0,0,0)","(4,0,0,0):iso-00014",b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,10,9dc165342740d8981a8fde7c03b83543d0a6f1be0e57cb864b936f0efde65b47
"(4,0,0,0)","(4,0,0,0):iso-00014",b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,10,5af2f4e80012145fc3a0e48a90913a02b739c9179adaaa01e09b43da26333b42
"(4,0,0,0)","(4,0,0,0):iso-00014",b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,10,b3b28fff82e1f483ebbe76bf36240be84a7274be5d4eb75e068f7f84f5f2f964
"(4,0,0,0)","(4,0,0,0):iso-00014",b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,10,3c176e112f995f3b2689cc2650edaef7969dee908503c53126d6b6125d61c039
"(4,0,0,0)","(4,0,0,0):iso-00014",b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,10,e4a1d3b47de4be31aa1562c19b04b79dbc7f360cff6007812a8f46cb3c66b517
"(4,0,0,0)","(4,0,0,0):iso-00014",b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,10,7cce39101bfb9e8a6ab2bd6079874d3359e082709991b678bd6faa6e7870350a
"(4,0,0,0)","(4,0,0,0):iso-00015",e3323c59474d87553b5fd77a3a5022775e98653092606b0aa0fac8aceb9ea745,1,e3323c59474d87553b5fd77a3a5022775e98653092606b0aa0fac8aceb9ea745
"(4,0,0,0)","(4,0,0,0):iso-00016",5677bee96b9b846842d3b53f6c99076e42e3916439af1ee4fa17e1fc15c95677,1,5677bee96b9b846842d3b53f6c99076e42e3916439af1ee4fa17e1fc15c95677
"(4,0,0,0)","(4,0,0,0):iso-00017",d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,10,d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f
"(4,0,0,0)","(4,0,0,0):iso-00017",d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,10,aa5236a663e1fe19e8f00e5c7cd007d84819f3cba1d1b4c5f1cad0f55aa12dba
"(4,0,0,0)","(4,0,0,0):iso-00017",d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,10,ead6e9321715c9110c4f4b1d62d8724949aa8d139acdbcd6b3100b2ec281541a
"(4,0,0,0)","(4,0,0,0):iso-00017",d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,10,4c5c91259b1a6b1964d070d4a67c07dcede8dd866355d17bc39dbddf9e5e6ce2
"(4,0,0,0)","(4,0,0,0):iso-00017",d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,10,7aacd5bef08303df1f9d74d6d300bea97d7629b6df4045979b04e7310f4bcbb1
"(4,0,0,0)","(4,0,0,0):iso-00017",d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,10,5f25705bcae9a11912c2db578039ba24bcb7b9c69e0a3a46141874164b09cda4
"(4,0,0,0)","(4,0,0,0):iso-00017",d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,10,45e7227790d33b4fa569dbd0eceaa18aa4eb65782811586079f6401393ebbfad
"(4,0,0,0)","(4,0,0,0):iso-00017",d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,10,9b24f38cf45395a7f22237bea113a8f097b737e56b54cc7111af3735d44d9169
"(4,0,0,0)","(4,0,0,0):iso-00017",d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,10,579d21e0ba4ca4d297760741639bdf41ab55cc729fdbb9ea89000f4ce62bfccd
"(4,0,0,0)","(4,0,0,0):iso-00017",d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,10,f0e67e1b67f492322dfdb494dcc8625511fde84bf81c676d0f2087131f557206
"(4,0,0,0)","(4,0,0,0):iso-00018",80c9c4dec29035fcbbd2ebf9093ea94065895bca26191300cf29ab61e5b41103,1,80c9c4dec29035fcbbd2ebf9093ea94065895bca26191300cf29ab61e5b41103
"(4,0,0,0)","(4,0,0,0):iso-00019",acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,6,acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09
"(4,0,0,0)","(4,0,0,0):iso-00019",acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,6,d5e032221bbb789348c08ac9c8e431f0cb2484f6a0fafb05b15dc9fc66d7752e
"(4,0,0,0)","(4,0,0,0):iso-00019",acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,6,0ecb5c84c8dff47834d880f8b33a726662853c0288ac2574e9938abc0f0b4695
"(4,0,0,0)","(4,0,0,0):iso-00019",acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,6,6136a0f54a64f954d1c61c68a459f6ba1a81aba7d87df366db5c365af86f45d3
"(4,0,0,0)","(4,0,0,0):iso-00019",acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,6,0f47a3db55b7e9e4f20750ffe5d0300d49dace2d55069dcdaa070cba32fc7201
"(4,0,0,0)","(4,0,0,0):iso-00019",acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,6,afcf05b34748c5fc17910b9c80e4cdde98b9fbaaf2cf25206459f8cbf8173493
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,e737b0e9611161ffaa9fe7d59b66881a285f9e7b1ed6ebce9aca023aeedaad97
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,421c8ad501287206d0a517e0213c2c8c204152e082933aa1b9e21a5b62408e56
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,da9fc67a5fffd48957f1758842a8de3efe1c455792d8a27b4f40b60d62a22f8d
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,bcaea41b7e66be3a4e9110e98a490f0f55dea3ffbf55446e41a5368ec34f7f40
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,73c4ac0963520d330500211deef50f30611a546b9940f1e23e110963654a7471
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,a3b69746b091619ab94442cf795054ed7c5f48dadfe5b7a88e67a1bdb80f4383
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,52ce0b216dd3a04a0399881125284adf17597336ddbbec6dba7019c6b73d60d2
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,f034971674b1927620a7c29dc37a4c093afa65734e31c0ee86788263554e975f
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,adcf4f147d5d86fbf01b9ec9262de9fd58a23800f8b584900c96c5fe2b149816
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,f39e47b7e82e6b4091a78b89690ab00e2daaedf64efd99865c25309a963c5c59
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,a28726a844c833d40f4810f4b3ad2d45334a426b8a216f5261b82a6ec3d6ab9f
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,b9af96913fe4b5c3cf589a00dcc33da9a4741c75887a2db03a78adc76406b5ac
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,87b0664e5e8a0615d3ab2cd5a28f09bcffe5c4f48ece7783bb61c34aeee8402e
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,969da05eee8bec26c458a35d55385e57ae2a085a6a7178982c54ad6b5d1ce054
"(4,0,0,0)","(4,0,0,0):iso-00020",f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,16,4af088b1897d4cf2b410ff30e7c0936d5e55092aa16165d87fa036976a6786ce
"(4,0,0,0)","(4,0,0,0):iso-00021",6bd8f9145c419b95a402b3f22b4e6c4d13eb4c8ab066741c2191939fba6611e4,4,6bd8f9145c419b95a402b3f22b4e6c4d13eb4c8ab066741c2191939fba6611e4
"(4,0,0,0)","(4,0,0,0):iso-00021",6bd8f9145c419b95a402b3f22b4e6c4d13eb4c8ab066741c2191939fba6611e4,4,c369719f2a40ddfcba0eaa93074b47e94c7aea0a5b0874f84a610b0784d7e0a8
"(4,0,0,0)","(4,0,0,0):iso-00021",6bd8f9145c419b95a402b3f22b4e6c4d13eb4c8ab066741c2191939fba6611e4,4,08fc8d31c7018aa19bc3a4314efe5e2ef34cd7250e1c9c751a6e1c209ce462e9
"(4,0,0,0)","(4,0,0,0):iso-00021",6bd8f9145c419b95a402b3f22b4e6c4d13eb4c8ab066741c2191939fba6611e4,4,a8553ad3b02b15a5888e06a625f95a31d32d6d064c29a8c5da169318246e7a93
"(4,0,0,0)","(4,0,0,0):iso-00022",57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,7,57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df
"(4,0,0,0)","(4,0,0,0):iso-00022",57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,7,2afec2cd48db7f30dd77b6cf93e2ffd4fab8d3d18ebf0eadd80bae9da9c3acb9
"(4,0,0,0)","(4,0,0,0):iso-00022",57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,7,230d5c770ff33d781792f2077f7347c8cf2492572c5c88cfe74e38a45a4242b6
"(4,0,0,0)","(4,0,0,0):iso-00022",57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,7,67ca366d6e82200c36211942ab5e155afe1a1b99606dc202444648e047cea856
"(4,0,0,0)","(4,0,0,0):iso-00022",57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,7,d59ee28d5f49d60bd87ce001776550356cec950fe470efd6b38860d8f95b0942
"(4,0,0,0)","(4,0,0,0):iso-00022",57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,7,3d40b7c222d3d2a8b5d008f747b71f92d8655cb95ffb69112d6de6a5d842830a
"(4,0,0,0)","(4,0,0,0):iso-00022",57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,7,bc3dd7083282460f687f19c3b2165961ec042b37ce2cccac3f8d6317b1e7e86c
"(4,0,0,0)","(4,0,0,0):iso-00023",8afa1624a15c9b995cb952a175ebb73873c5715b09a94614702e28a0e0f8a53b,1,8afa1624a15c9b995cb952a175ebb73873c5715b09a94614702e28a0e0f8a53b
"(4,0,0,0)","(4,0,0,0):iso-00024",924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,7,924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f
"(4,0,0,0)","(4,0,0,0):iso-00024",924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,7,c2a5374653acf02a5cddf0ec51e8b379290f281d720390cac1954760e3453005
"(4,0,0,0)","(4,0,0,0):iso-00024",924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,7,63358425a9d01fec6c897ad375906c44c436378e2b3fd197070f584fa15f638b
"(4,0,0,0)","(4,0,0,0):iso-00024",924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,7,7e40f31de694d8bf6239fc699716e09d74d1ae6a6ef882212756df3b25b128b9
"(4,0,0,0)","(4,0,0,0):iso-00024",924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,7,0f7fcf4787002402de5cfc03577c7864218f78f30c5efe6a8a9d0dd8469054ee
"(4,0,0,0)","(4,0,0,0):iso-00024",924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,7,ada189483a2c0aaca2749f4c43184f5067d0fd69cbf76a21182b8a0d44f42f72
"(4,0,0,0)","(4,0,0,0):iso-00024",924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,7,76a1e142204885dd87ec21d97692a5cbde7efdf280080cfea81cd7e191b60a3b
"(4,0,0,0)","(4,0,0,0):iso-00025",e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,8,e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122
"(4,0,0,0)","(4,0,0,0):iso-00025",e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,8,bad432aad182805991f564959c63eb2c071b6b66f3a1e16971da632afcfd7616
"(4,0,0,0)","(4,0,0,0):iso-00025",e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,8,b0d8425b4b4107f2d2e1f32dc4c086fae32ffd2789f2380a9514e467a5ae6905
"(4,0,0,0)","(4,0,0,0):iso-00025",e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,8,e9b530a5c16f5c89b5eb4fc9d9cb2b3a75affaa7ec9d35141e6bc67cc5373e9a
"(4,0,0,0)","(4,0,0,0):iso-00025",e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,8,b29bacd7a95cef6fd86a3b6c708ce87d6cb1fd83311a67834dc252c5428c43c5
"(4,0,0,0)","(4,0,0,0):iso-00025",e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,8,7c41ae2e89d80257fd9848b455a22b8c804112fe869cfeb34d1add11e9063ebb
"(4,0,0,0)","(4,0,0,0):iso-00025",e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,8,9054439eb2fd3709faf5af608ada6b8778adbe0cf84406292a41a835f4c202a6
"(4,0,0,0)","(4,0,0,0):iso-00025",e999eab4d25db71f71ea7b83a392e6e4cd7badf2c5a6c79b7b46c5a55df40122,8,fa2cb0c156cca81e250ba1e598a4d835ba428246aa644bccd4fc24ab57749486
"(4,0,0,0)","(4,0,0,0):iso-00026",100287ca17544787cb00390ffc026ff8ca682e06ac86553b7c223ea5ef19be37,2,100287ca17544787cb00390ffc026ff8ca682e06ac86553b7c223ea5ef19be37
"(4,0,0,0)","(4,0,0,0):iso-00026",100287ca17544787cb00390ffc026ff8ca682e06ac86553b7c223ea5ef19be37,2,fa15ffa117b85a5fb219fab2708ad51e711ba6005789abc716cb7f323b3ea5b3
"(4,0,0,0)","(4,0,0,0):iso-00027",e2e82d6036814ae375314332072d8212e2eb70ea0e9c1d5bb95e16d14a3c4568,8,e2e82d6036814ae375314332072d8212e2eb70ea0e9c1d5bb95e16d14a3c4568
"(4,0,0,0)","(4,0,0,0):iso-00027",e2e82d6036814ae375314332072d8212e2eb70ea0e9c1d5bb95e16d14a3c4568,8,63a4c301df97ef05b42f2baa68c7f280ce893d87312f0ea7d256881d0e7fa3a2
"(4,0,0,0)","(4,0,0,0):iso-00027",e2e82d6036814ae375314332072d8212e2eb70ea0e9c1d5bb95e16d14a3c4568,8,b87d7c56743d7f06ef55fd9c31d9ec839f1d1da288c3073c4cfc1b98e38e7870
"(4,0,0,0)","(4,0,0,0):iso-00027",e2e82d6036814ae375314332072d8212e2eb70ea0e9c1d5bb95e16d14a3c4568,8,0e0ac4488e2e558c4a3e34d6f019332bc59d59592a98d3017f2a4807083b475a
